Date,Open,High,Low,Close,Adj Close,Volume
2014-03-10,437.5,444,436.5,437.625,385.126556,69494
2014-03-11,435.5,441.75,430.799988,436.774994,384.37851,123866
2014-03-12,436.274994,437,432.024994,433.049988,381.100372,171090
2014-03-13,433.524994,439,430.5,431.450012,379.692322,98408
2014-03-14,430.075012,433.5,427.549988,429.200012,377.71225,60770
2014-03-18,431.875,434,427,427.975006,376.634247,201166
2014-03-19,430.850006,433.475006,426.524994,427.149994,375.908173,155970
2014-03-20,425.600006,430,421.5,427.899994,376.568237,96402
2014-03-21,429.25,437,424.25,429.149994,377.668182,492056
2014-03-22,null,null,null,null,null,null
2014-03-24,433,434.899994,421,422.924988,372.189972,213364
2014-03-25,424,428.5,418.25,420.575012,370.121948,203422
2014-03-26,422.5,424.975006,413.5,416.399994,366.447754,131786
2014-03-27,414.125,420.975006,404.549988,408.350006,359.363495,300068
2014-03-28,416,416,410.700012,414.5,364.775665,486708
2014-03-31,414.5,423,414.475006,421.700012,371.111938,147232
2014-04-01,420.200012,426.25,417.5,420.600006,370.14389,144852
2014-04-02,418.5,424.5,418,419.725006,369.373901,233062
2014-04-03,420,422.399994,419.075012,421.049988,370.539917,361954
2014-04-04,419,431.899994,419,430.475006,378.834259,272854
2014-04-07,432.399994,432.399994,414.5,416.325012,366.381744,177368
2014-04-09,421.450012,431,417.075012,427.375,376.106171,192290
2014-04-10,432,439.100006,430.575012,437.774994,385.258545,264250
2014-04-11,437.5,445.149994,437.450012,444.174988,390.890778,153834
2014-04-15,443,446.875,435.350006,441.475006,388.51474,156474
2014-04-16,441.475006,443.950012,438.149994,439.975006,387.194641,104894
2014-04-17,440,443.5,438.5,442.225006,389.174774,74298
2014-04-21,444.850006,447.5,442.600006,446.549988,392.980927,86532
2014-04-22,447,461.5,444.274994,456.225006,401.4953,362978
2014-04-23,456.225006,460,442.5,446.25,392.716888,253636
2014-04-24,446.25,446.25,446.25,446.25,392.716888,0
2014-04-25,448.5,448.5,440.600006,445,391.616852,307606
2014-04-28,442.5,449.149994,442.5,445.725006,392.254852,487736
2014-04-29,442.049988,446,429,431.399994,379.648376,68400
2014-04-30,431,435.5,423.674988,432.024994,380.198395,72960
2014-05-02,430,436.200012,425,427.924988,376.59024,39354
2014-05-05,423.649994,436,423.649994,430.299988,378.680298,60912
2014-05-06,428.274994,434.899994,422.600006,425.200012,374.192108,50042
2014-05-07,421.774994,432.5,421.774994,429.174988,377.690247,64028
